Month_Year,CPI_Combined_General,CPI_Fuel_and_Light,CPI_Base_Year,Source
2023-01,176.5,200.4,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2023-02,176.8,201.2,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2023-03,177.2,201.5,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2023-04,178.1,201.8,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2023-05,179.0,202.1,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2023-06,180.9,202.4,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2023-07,186.3,203.1,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2023-08,185.6,203.4,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2023-09,183.5,194.7,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2023-10,184.7,193.2,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2023-11,185.7,193.6,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2023-12,185.7,193.8,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2024-01,185.5,194.1,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2024-02,185.8,194.3,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2024-03,185.6,190.8,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2024-04,186.7,189.6,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2024-05,187.6,189.9,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2024-06,190.0,190.2,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2024-07,192.5,190.6,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2024-08,192.4,191.0,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2024-09,193.6,191.4,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2024-10,194.8,191.9,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2024-11,195.3,192.3,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2024-12,195.0,192.6,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2025-01,194.6,193.0,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2025-02,194.9,193.4,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2025-03,195.2,193.8,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2025-04,195.8,194.2,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2025-05,196.4,194.6,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2025-06,197.1,195.0,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2025-07,198.0,195.5,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2025-08,198.5,196.0,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2025-09,198.8,196.4,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2025-10,199.4,196.9,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2025-11,199.9,197.3,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2025-12,199.6,197.6,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2026-01,200.1,198.0,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2026-02,200.5,198.4,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2026-03,201.0,198.9,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
