Month_Year,WPI_All_Commodities,WPI_Fuel_and_Power,WPI_Mineral_Oils,WPI_Base_Year,Source
2021-02,128.1,101.5,89.3,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2021-03,129.9,104.2,94.0,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2021-04,132.0,108.9,97.5,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2021-05,132.9,110.5,99.8,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2021-06,133.7,113.1,104.2,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2021-07,135.0,115.5,108.4,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2021-08,136.2,116.0,109.1,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2021-09,137.4,116.7,110.3,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2021-10,140.7,125.7,123.5,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2021-11,143.7,131.7,133.8,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2021-12,143.3,129.4,129.8,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2022-01,143.8,133.0,136.0,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2022-02,145.3,137.4,143.6,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2022-03,148.9,145.4,157.4,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2022-04,152.3,151.7,168.2,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2022-05,154.1,154.9,173.8,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2022-06,154.0,155.6,175.0,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2022-07,153.8,154.0,172.3,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2022-08,153.2,149.8,165.1,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2022-09,152.1,147.2,160.7,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2022-10,152.5,148.6,163.1,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2022-11,152.5,151.7,168.4,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2022-12,150.5,149.8,165.1,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2023-01,150.7,151.3,167.7,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2023-02,150.9,150.2,165.8,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2023-03,151.0,148.9,163.6,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2023-04,150.9,149.4,164.5,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2023-05,149.6,146.4,159.3,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2023-06,149.0,144.3,155.8,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2023-07,152.1,147.2,160.7,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2023-08,152.5,149.6,164.8,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2023-09,151.8,153.1,170.8,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2023-10,152.1,152.8,170.3,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2023-11,152.9,152.7,170.1,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2023-12,151.8,152.5,169.8,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2024-01,151.2,153.2,171.0,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2024-02,151.2,153.6,171.7,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2024-03,151.8,154.2,172.7,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2024-04,153.2,153.8,172.0,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2024-05,154.3,153.1,170.8,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2024-06,154.5,152.8,170.3,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2024-07,155.0,153.6,171.7,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2024-08,154.8,152.0,169.0,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2024-09,154.2,149.6,164.8,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2024-10,154.9,148.9,163.6,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2024-11,155.4,150.2,165.8,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2024-12,155.1,151.3,167.7,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2025-01,155.6,152.5,169.8,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2025-02,156.0,153.2,171.0,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2025-03,156.4,153.8,172.0,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2025-04,157.0,154.2,172.7,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2025-05,157.5,154.6,173.4,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2025-06,157.8,154.9,173.9,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2025-07,158.2,155.3,174.6,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2025-08,158.6,155.8,175.4,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2025-09,158.4,155.1,174.2,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2025-10,158.9,155.7,175.2,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2025-11,159.3,156.2,176.1,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2025-12,159.0,155.9,175.6,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2026-01,159.4,156.4,176.4,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2026-02,159.8,156.8,177.1,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2026-03,160.2,157.3,178.0,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
