Table_Name,Column_Name,Data_Type,Primary_Key,Units,Source_Authority,Aggregation_Rule,Frequency,Description
energyshield_macro_monthly,AED_INR_Monthly_Avg,FLOAT64,NO,INR per 1 AED,FBIL / RBI,Arithmetic Monthly Mean,Monthly,Monthly average AED/INR reference rate.
energyshield_macro_monthly,WPI_Headline_Index,FLOAT64,NO,Index (2011-12=100),OEA / DPIIT,Official Monthly Index,Monthly,Wholesale Price Index: All Commodities.
energyshield_macro_monthly,WPI_Fuel_and_Power_Index,FLOAT64,NO,Index (2011-12=100),OEA / DPIIT,Official Monthly Index,Monthly,Wholesale Price Index: Major Group II (Fuel & Power).
energyshield_macro_monthly,WPI_Mineral_Oils_SubIndex,FLOAT64,NO,Index (2011-12=100),OEA / DPIIT,Official Monthly Index,Monthly,Wholesale Price Index: Sub-Group II.b (Mineral Oils).
energyshield_macro_monthly,CPI_Combined_Headline,FLOAT64,NO,Index (2012=100),NSO / MoSPI,Official Monthly Index,Monthly,Consumer Price Index: All India Combined General Index.
energyshield_macro_monthly,CPI_Fuel_and_Light_Index,FLOAT64,NO,Index (2012=100),NSO / MoSPI,Official Monthly Index,Monthly,Consumer Price Index: Group 4 (Fuel and Light Combined).
energyshield_macro_quarterly,Fiscal_Year_Quarter,STRING,YES,YYYY-YY QX,RBI BoP / DEPR,Quarterly Primary Key,Quarterly,Quarterly macroeconomic primary key.
energyshield_macro_quarterly,Financial_Year,STRING,NO,YYYY-YY,Canonical Calendar,Date Mapping,Quarterly,Financial Year of the quarter.
energyshield_macro_quarterly,Quarter,STRING,NO,"Q1, Q2, Q3, Q4",Canonical Calendar,Date Mapping,Quarterly,Fiscal quarter within the financial year.
energyshield_macro_quarterly,Merchandise_Imports_Total_USD_Mn,FLOAT64,NO,USD Million,RBI BoP,Direct Statutory Flow,Quarterly,Total Merchandise Imports in Balance of Payments (BPM6).
energyshield_macro_quarterly,POL_Imports_USD_Mn,FLOAT64,NO,USD Million,RBI BoP,Direct Statutory Flow,Quarterly,"Petroleum, Oil and Lubricants (POL) Imports."
energyshield_macro_quarterly,Non_POL_Imports_USD_Mn,FLOAT64,NO,USD Million,RBI BoP,Direct Statutory Flow,Quarterly,Non-POL Merchandise Imports.
energyshield_macro_quarterly,Merchandise_Trade_Balance_USD_Mn,FLOAT64,NO,USD Million,RBI BoP,Direct Statutory Flow,Quarterly,Goods Trade Balance (Exports minus Imports). Negative denotes deficit.
energyshield_macro_quarterly,Current_Account_Balance_USD_Mn,FLOAT64,NO,USD Million,RBI BoP,Direct Statutory Flow,Quarterly,Current Account Balance. Negative denotes deficit.
energyshield_macro_quarterly,CAD_as_Pct_of_GDP,FLOAT64,NO,% of GDP,RBI BoP,Direct Statutory Ratio,Quarterly,Current Account Deficit as a percentage of GDP. Negative denotes deficit.
energyshield_macro_quarterly,USD_INR_Quarterly_Avg,FLOAT64,NO,INR per 1 USD,FBIL / RBI,Arithmetic 3-Month Mean,Quarterly,Quarterly average USD/INR reference rate.
energyshield_macro_quarterly,GBP_INR_Quarterly_Avg,FLOAT64,NO,INR per 1 GBP,FBIL / RBI,Arithmetic 3-Month Mean,Quarterly,Quarterly average GBP/INR reference rate.
energyshield_macro_quarterly,EUR_INR_Quarterly_Avg,FLOAT64,NO,INR per 1 EUR,FBIL / RBI,Arithmetic 3-Month Mean,Quarterly,Quarterly average EUR/INR reference rate.
energyshield_macro_quarterly,WPI_Headline_Quarterly_Avg,FLOAT64,NO,Index (2011-12=100),OEA / DPIIT,Arithmetic 3-Month Mean,Quarterly,Quarterly average WPI All Commodities Index.
energyshield_macro_quarterly,WPI_Fuel_and_Power_Quarterly_Avg,FLOAT64,NO,Index (2011-12=100),OEA / DPIIT,Arithmetic 3-Month Mean,Quarterly,Quarterly average WPI Fuel & Power Index.
energyshield_macro_quarterly,WPI_Mineral_Oils_Quarterly_Avg,FLOAT64,NO,Index (2011-12=100),OEA / DPIIT,Arithmetic 3-Month Mean,Quarterly,Quarterly average WPI Mineral Oils Sub-Index.
energyshield_macro_quarterly,CPI_Combined_Quarterly_Avg,FLOAT64,NO,Index (2012=100),NSO / MoSPI,Arithmetic 3-Month Mean,Quarterly,Quarterly average CPI Combined General Index.
energyshield_macro_quarterly,CPI_Fuel_and_Light_Quarterly_Avg,FLOAT64,NO,Index (2012=100),NSO / MoSPI,Arithmetic 3-Month Mean,Quarterly,Quarterly average CPI Fuel & Light Index.
energyshield_macro_quarterly,Quarterly_Trading_Days,INT64,NO,Count,FBIL,Quarterly Sum of Days,Quarterly,Total FX trading days in the quarter.
energyshield_forex_reserves_benchmark,Reporting_Date,STRING,YES,YYYY-MM-DD,RBI WSS Table 2,Weekly Point Observation,Weekly (PARTIAL),Official reserve observation date.
energyshield_forex_reserves_benchmark,Total_Reserves_USD_Mn,FLOAT64,NO,USD Million,RBI WSS Table 2,Weekly Point Observation,Weekly (PARTIAL),Total Foreign Exchange Reserves in USD Millions.
energyshield_forex_reserves_benchmark,Foreign_Currency_Assets_USD_Mn,FLOAT64,NO,USD Million,RBI WSS Table 2,Weekly Point Observation,Weekly (PARTIAL),Foreign Currency Assets in USD Millions.
energyshield_forex_reserves_benchmark,Gold_USD_Mn,FLOAT64,NO,USD Million,RBI WSS Table 2,Weekly Point Observation,Weekly (PARTIAL),Gold Reserves in USD Millions.
energyshield_forex_reserves_benchmark,SDRs_USD_Mn,FLOAT64,NO,USD Million,RBI WSS Table 2,Weekly Point Observation,Weekly (PARTIAL),Special Drawing Rights in USD Millions.
energyshield_forex_reserves_benchmark,Reserve_Position_IMF_USD_Mn,FLOAT64,NO,USD Million,RBI WSS Table 2,Weekly Point Observation,Weekly (PARTIAL),Reserve Position in the IMF in USD Millions.
energyshield_forex_reserves_benchmark,Coverage_Status,STRING,NO,Text Flag,EnergyShield Metadata,Categorical Flag,Metadata,Flagged as PARTIAL_HISTORICAL_BENCHMARK to prevent misleading extrapolation.
