Month_Year,Financial_Year,Fiscal_Year_Quarter,Quarter,Trading_Days,USD_INR_Monthly_Avg,GBP_INR_Monthly_Avg,EUR_INR_Monthly_Avg,AED_INR_Monthly_Avg,WPI_Headline_Index,WPI_Fuel_and_Power_Index,WPI_Mineral_Oils_SubIndex,CPI_Combined_Headline,CPI_Fuel_and_Light_Index
2025-01,2024-25,2024-25 Q4,Q4,23,86.2657,106.6133,89.2996,,155.6,152.5,169.8,194.6,193.0
2025-02,2024-25,2024-25 Q4,Q4,18,87.0548,108.9841,90.5784,,156.0,153.2,171.0,194.9,193.4
2025-03,2024-25,2024-25 Q4,Q4,19,86.6377,111.7308,93.5058,,156.4,153.8,172.0,195.2,193.8
2025-04,2025-26,2025-26 Q1,Q1,18,85.5612,112.695,96.2296,,157.0,154.2,172.7,195.8,194.2
2025-05,2025-26,2025-26 Q1,Q1,20,85.1897,113.9189,96.1497,,157.5,154.6,173.4,196.4,194.6
2025-06,2025-26,2025-26 Q1,Q1,21,85.9034,116.426,98.9201,,157.8,154.9,173.9,197.1,195.0
2025-07,2025-26,2025-26 Q2,Q2,23,86.1146,116.3466,100.64,,158.2,155.3,174.6,198.0,195.5
2025-08,2025-26,2025-26 Q2,Q2,19,87.5184,117.5731,101.7976,,158.6,155.8,175.4,198.5,196.0
2025-09,2025-26,2025-26 Q2,Q2,21,88.3226,119.2773,103.6437,,158.4,155.1,174.2,198.8,196.4
2025-10,2025-26,2025-26 Q3,Q3,20,88.4164,118.1072,102.954,,158.9,155.7,175.2,199.4,196.9
2025-11,2025-26,2025-26 Q3,Q3,19,88.8256,116.72,102.7129,,159.3,156.2,176.1,199.9,197.3
2025-12,2025-26,2025-26 Q3,Q3,22,90.0913,120.514,105.4631,,159.0,155.9,175.6,199.6,197.6
2026-01,2025-26,2025-26 Q4,Q4,20,90.7991,122.7279,106.5785,24.7437,159.4,156.4,176.4,200.1,198.0
2026-02,2025-26,2025-26 Q4,Q4,19,90.7308,123.3372,107.3557,24.7024,159.8,156.8,177.1,200.5,198.4
2026-03,2025-26,2025-26 Q4,Q4,18,92.7608,123.8333,107.279,25.2543,160.2,157.3,178.0,201.0,198.9
